"Story","Title","Result","Date","Stability","Duration (s)"
"Admin test","Admin - 1.Get Users","SUCCESS","2019-09-23T19:59:13.349+05:30[Asia/Calcutta]","0.0","0.39"
"Admin test","Admin - 3.Get Organization Information","SUCCESS","2019-09-23T19:59:14.081+05:30[Asia/Calcutta]","0.0","0.45"
"Admin test","Admin - 2.User Login","SUCCESS","2019-09-23T19:59:14.531+05:30[Asia/Calcutta]","0.0","0.63"
"Customer test","Time - 2.Save Customers","SUCCESS","2019-09-23T19:59:15.422+05:30[Asia/Calcutta]","0.0","0.45"
"Customer test","Time - 1.Get Customers","SUCCESS","2019-09-23T19:59:15.879+05:30[Asia/Calcutta]","0.0","0.36"
"Employee test","Employee - 05.Employee Search","SUCCESS","2019-09-23T20:00:10.051+05:30[Asia/Calcutta]","0.0","0.57"
"O auth2 test","Validate the generated access token by retrieving Admin user details","SUCCESS","2019-09-23T20:00:11.866+05:30[Asia/Calcutta]","0.0","0.61"
"Orange HRM - Admin","Get Admin User List","SUCCESS","2019-09-23T19:59:07.035+05:30[Asia/Calcutta]","0.0","0.74"
"Orange HRM - Admin","Get Organization details","SUCCESS","2019-09-23T19:59:07.786+05:30[Asia/Calcutta]","0.0","0.21"
"Orange HRM - Time","Save Customer info","SUCCESS","2019-09-23T19:59:07.996+05:30[Asia/Calcutta]","0.0","0.52"
"Orange HRM - Employee","Get the list of Employees","SUCCESS","2019-09-23T19:59:08.519+05:30[Asia/Calcutta]","0.0","0.29"
"Orange HRM - Employee","Add an Employee","SUCCESS","2019-09-23T19:59:08.81+05:30[Asia/Calcutta]","0.0","0.29"
"Orange HRM - Employee","Validate if the employee has been added","SUCCESS","2019-09-23T19:59:09.099+05:30[Asia/Calcutta]","0.0","0.56"
"Orange HRM - Employee","Validate if the employee details are updated","SUCCESS","2019-09-23T19:59:09.657+05:30[Asia/Calcutta]","0.0","0.47"
